CSDUID,CSDNAME,CSDTYPE,OMEC_LAT,OMEC_LON,OMEC_RAD_M
5901003,Elkford,DM,50.092078755725,-114.8932774265481,14739.325296227766
5901006,Sparwood,DM,49.715245978160226,-114.76902468696554,28848.507670900854
5901012,Fernie,CY,49.505247973518536,-115.06359064208272,3318.730493970505
5901017,East Kootenay A,RDA,49.78558228047626,-114.63590471003242,96568.83057125418
5901019,East Kootenay B,RDA,49.163763553801296,-115.22643133677099,40807.162157986066
5901022,Cranbrook,CY,49.55472877504942,-115.77240708152196,8041.153725570389
5901028,Kimberley,CY,49.67715497414538,-115.96736642077573,6595.506466577854
5901035,East Kootenay C,RDA,49.56040072159067,-115.52586615948569,72043.72066232601
5901037,East Kootenay E,RDA,49.79326265054232,-116.06594568458758,56101.09394541492
5901039,Invermere,DM,50.50216130978339,-116.04053163777569,3288.687817242318
5901040,Radium Hot Springs,VL,50.62915709053614,-116.07469219288836,2231.525243320739
5901043,Canal Flats,VL,50.16486005079139,-115.82281891434306,3187.9124250674363
5901046,East Kootenay F,RDA,50.304209018987265,-115.83451034973895,59304.06558280386
5901048,East Kootenay G,RDA,50.84038376269327,-116.2593242188161,54248.070340158636
5901801,Tobacco Plains 2,IRI,49.0481551455159,-115.0888524035898,6125.2678955167485
5901802,Isidore's Ranch 4,IRI,49.545023781688855,-115.6004410731094,1293.7248105484352
5901803,Kootenay 1,IRI,49.63777587035931,-115.73108034368626,7329.821956366367
5901804,Columbia Lake 3,IRI,50.40863154619614,-115.91415784739627,7097.02400496954
5901805,Cassimayooks (Mayook) 5,IRI,49.49146042085122,-115.56525842496092,568.5179476144318
5901806,Shuswap,IRI,50.53803963308803,-116.02042868162177,3158.5201811796073
5901808,St. Mary's,IRI,49.58265359590471,-115.76650121697404,1183.8866533811263
5903004,Creston,T,49.108246191293254,-116.51155446714775,2578.124426620783
5903010,Central Kootenay A,RDA,49.49367365780253,-116.75880838324092,42656.39711319403
5903011,Salmo,VL,49.189212511528474,-117.28243999451414,1308.8320588408617
5903013,Central Kootenay B,RDA,49.25536942411976,-116.265284435752,33280.32141741856
5903015,Nelson,CY,49.4949694524866,-117.34083119236797,14481.39022318362
5903017,Central Kootenay C,RDA,49.098987154546286,-116.76004839986649,21744.941919023637
5903019,Slocan,VL,49.7663854049521,-117.46888555377512,720.5999904874229
5903023,Kaslo,VL,49.90509063361065,-116.92233422817597,1984.9125633281378
5903027,Silverton,VL,49.95280893038141,-117.36188325221238,670.9836499919563
5903032,New Denver,VL,49.98924307587944,-117.3754406851495,1037.880799703657
5903039,Central Kootenay D,RDA,50.377644602165915,-117.0478889105427,76950.87672059237
5903041,Central Kootenay E,RDA,49.51919600708822,-117.22317426471228,30585.998242160542
5903043,Central Kootenay F,RDA,49.6166301341913,-117.36150068357098,20082.7273355452
5903045,Castlegar,CY,49.300625845285246,-117.67842645212103,8837.69912952485
5903047,Central Kootenay G,RDA,49.18298562144347,-117.19012327747947,28763.72616516827
5903050,Nakusp,VL,50.266538922852455,-117.79140381530016,8499.27383403942
5903052,Central Kootenay H,RDA,49.8856610894212,-117.5470421877113,52904.78665094176
5903056,Central Kootenay I,RDA,49.38045534373556,-117.5911072930345,8462.942196855842
5903058,Central Kootenay J,RDA,49.50017327631797,-117.89982505709415,46565.606949295696
5903060,Central Kootenay K,RDA,50.19315341507922,-118.07640595349964,55776.181512738745
5903807,Creston 1,IRI,49.053478493802174,-116.53692706762754,2615.569772830141
5905005,Fruitvale,VL,49.11104215901403,-117.55401698756789,1667.2956727221351
5905009,Montrose,VL,49.07702820376071,-117.59145140948743,1005.2473618105893
5905014,Trail,CY,49.08917658736752,-117.70030777257388,6848.14315269415
5905018,Warfield,VL,49.09731552628182,-117.74511752277175,1263.0384684101273
5905023,Rossland,CY,49.124975449911176,-117.83255544207618,8203.409327799825
5905026,Kootenay Boundary A,RDA,49.10172314451185,-117.58528688697187,14059.710102392433
5905030,Kootenay Boundary B / Lower Columbia-Old-Glory,RDA,49.138132465121615,-117.89033990912017,24784.85171780406
5905032,Grand Forks,CY,49.03074305393003,-118.44451083294344,2547.54486014833
5905037,Midway,VL,49.002720660161565,-118.80013095635421,3683.9461388307022
5905042,Greenwood,CY,49.09406744487201,-118.67823432670723,1650.8177808023654
5905050,Kootenay Boundary C / Christina Lake,RDA,49.15611056567808,-118.18019026364395,19349.62713309245
5905052,Kootenay Boundary D / Rural Grand Forks,RDA,49.40478003310026,-118.44472795939946,46219.309674504126
5905054,Kootenay Boundary E / West Boundary,RDA,49.40680307627312,-118.90643868535093,53323.4748088526
5907005,Osoyoos,T,49.02776249525337,-119.47035594764647,3171.739657011964
5907009,Keremeos,VL,49.20690745886824,-119.82522910823376,1102.583733330126
5907014,Oliver,T,49.18770459503573,-119.55251545404435,2181.752758930801
5907022,Okanagan-Similkameen A,RDA,49.090833503138725,-119.4491212249536,16438.069273745634
5907024,Princeton,T,49.38054548421148,-120.508613779375,11575.870524610993
5907026,Okanagan-Similkameen B,RDA,49.08328204658412,-119.78613732785911,14913.017357706007
5907028,Okanagan-Similkameen C,RDA,49.23168152018001,-119.4367150663647,20964.446064867927
5907035,Summerland,DM,49.63577386311133,-119.71325027050092,10436.746708072886
5907041,Penticton,CY,49.48962405996469,-119.56354948022687,7414.549752920338
5907047,Okanagan-Similkameen D,RDA,49.380044348001725,-119.38372944808987,17394.40558422878
5907048,Okanagan-Similkameen I,RDA,49.37280926749765,-119.72788002328929,17443.83974640922
5907049,Okanagan-Similkameen E,RDA,49.63650237374291,-119.51238810898184,20650.523003033853
5907051,Okanagan-Similkameen F,RDA,49.61520052799678,-119.82335318982938,20176.762399909647
